# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.61300000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.00514188      	7.69788949e-04	2.22940246e-21	2.22952222e-03	-1.11476111e-04	-4.06429635e-04	3.84894474e-05	2.73418364e-04	4.96370585e-04	3.84894474e-05	-3.84894474e-05	7.08331473e-04	1.52119074e-03
0.00521925      	7.83584646e-04	-1.33686343e-21	2.22834045e-03	-1.11417022e-04	-4.00920018e-04	3.91792323e-05	2.80375301e-04	5.03209345e-04	3.91792323e-05	-3.91792323e-05	7.13250206e-04	1.51509024e-03
0.00529662      	7.96595339e-04	1.15777761e-21	2.22677727e-03	-1.11338863e-04	-3.95345723e-04	3.98297669e-05	2.86958806e-04	5.09636533e-04	3.98297669e-05	-3.98297669e-05	7.18042910e-04	1.50873436e-03
0.00537399      	8.09069572e-04	-1.45848599e-21	2.22516957e-03	-1.11258478e-04	-3.89827204e-04	4.04534786e-05	2.93276308e-04	5.15793265e-04	4.04534786e-05	-4.04534786e-05	7.22757581e-04	1.50241199e-03
0.00545136      	8.20885002e-04	-3.01145440e-22	2.22338446e-03	-1.11169223e-04	-3.84318191e-04	4.10442501e-05	2.99273278e-04	5.21611724e-04	4.10442501e-05	-4.10442501e-05	7.27374039e-04	1.49601042e-03
0.00552873      	8.32207560e-04	1.74511481e-21	2.22165614e-03	-1.11082807e-04	-3.78880681e-04	4.16103780e-05	3.05020973e-04	5.27186587e-04	4.16103780e-05	-4.16103780e-05	7.31947389e-04	1.48970875e-03
0.0056061       	8.43021047e-04	-2.17514084e-21	2.21985931e-03	-1.10992965e-04	-3.73524727e-04	4.21510524e-05	3.10517558e-04	5.32503489e-04	4.21510524e-05	-4.21510524e-05	7.36404928e-04	1.48345438e-03
0.00568347      	8.53284564e-04	-4.05189845e-21	2.21790062e-03	-1.10895031e-04	-3.68010665e-04	4.26642282e-05	3.15747251e-04	5.37537313e-04	4.26642282e-05	-4.26642282e-05	7.40939643e-04	1.47696097e-03
0.00576084      	8.63039149e-04	-7.42077660e-22	2.21608759e-03	-1.10804380e-04	-3.62631611e-04	4.31519574e-05	3.20715195e-04	5.42323954e-04	4.31519574e-05	-4.31519574e-05	7.45412185e-04	1.47067541e-03
0.00583821      	8.72366108e-04	-1.79044203e-21	2.21423643e-03	-1.10711822e-04	-3.57228354e-04	4.36183054e-05	3.25471233e-04	5.46894876e-04	4.36183054e-05	-4.36183054e-05	7.49889862e-04	1.46434657e-03
